block	mhab	sow	add	excl	germ	s.unk	s.herb	sdl.unk	sdl.herb	sdl.surv	pemerg	M1	M2	p1	p2	M3	M4	p3	p4	precr
F1	B	2	C	O	0	1	1	0	0	0	0.00	0.50	0.50	0.50	0.50	0.00	0.00	1.00	1.00	0.00
G1	B	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
H2	B	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
E11	B	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
E14	B	2	C	O	1	0	1	1	0	0	0.50	0.00	0.50	1.00	0.50	0.50	0.00	0.50	1.00	0.00
D14	B	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
G10	B	2	C	O	2	0	0	0	1	1	1.00	0.00	0.00	1.00	1.00	0.00	0.50	1.00	0.50	0.50
H9	B	2	C	O	0	2	0	0	0	0	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00
I11	B	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
I11	B	2	C	O	0	0	2	0	0	0	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00
K2	B	2	C	O	0	0	2	0	0	0	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00
M2	B	2	C	O	1	1	0	0	1	0	0.50	0.50	0.00	0.50	1.00	0.00	0.50	1.00	0.50	0.00
N2	B	2	C	O	2	0	0	1	1	0	1.00	0.00	0.00	1.00	1.00	0.50	0.50	0.50	0.50	0.00
O2	B	2	C	O	1	0	1	0	1	0	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.50	0.00
K3	B	2	C	O	1	1	0	1	0	0	0.50	0.50	0.00	0.50	1.00	0.50	0.00	0.50	1.00	0.00
